30440.0, 13,8,3,1,0
0.0, 16,8,3,1,0
30000.0, 17,8,3,1,0
31639.0, 12,9,3,1,0
48745.67, 13,9,3,1,0
31639.0, 16,9,3,1,0
48305.67, 17,9,3,1,0
38773.0, 13,12,3,1,0
0.0, 16,12,3,1,0
30000.0, 17,12,3,1,0
30440.0, 16,13,3,1,0
47106.67, 17,13,3,1,0
36020.0, 17,16,3,1,0
38412.0, 8,5,4,1,0
56717.67, 9,5,4,1,0
38412.0, 12,5,4,1,0
55518.67, 13,5,4,1,0
38412.0, 16,5,4,1,0
55078.67, 17,5,4,1,0
39305.0, 9,8,4,1,0
0.0, 12,8,4,1,0
30440.0, 13,8,4,1,0
0.0, 16,8,4,1,0
30000.0, 17,8,4,1,0
31639.0, 12,9,4,1,0
48745.67, 13,9,4,1,0
31639.0, 16,9,4,1,0
48305.67, 17,9,4,1,0
38773.0, 13,12,4,1,0
0.0, 16,12,4,1,0
30000.0, 17,12,4,1,0
30440.0, 16,13,4,1,0
47106.67, 17,13,4,1,0
36020.0, 17,16,4,1,0
57938.67, 9,8,5,1,0
31967.0, 12,8,5,1,0
49073.67, 13,8,5,1,0
31967.0, 16,8,5,1,0
48633.67, 17,8,5,1,0
50272.67, 12,9,5,1,0
44046.0, 13,9,5,1,0
50272.67, 16,9,5,1,0
44046.0, 17,9,5,1,0
57406.67, 13,12,5,1,0
31967.0, 16,12,5,1,0
48633.67, 17,12,5,1,0
49073.67, 16,13,5,1,0
44046.0, 17,13,5,1,0
54653.67, 17,16,5,1,0
39305.0, 12,9,8,1,0
56411.67, 13,9,8,1,0
39305.0, 16,9,8,1,0
55971.67, 17,9,8,1,0
38773.0, 13,12,8,1,0
0.0, 16,12,8,1,0
30000.0, 17,12,8,1,0
30440.0, 16,13,8,1,0
47106.67, 17,13,8,1,0
36020.0, 17,16,8,1,0
57078.67, 13,12,9,1,0
31639.0, 16,12,9,1,0
48305.67, 17,12,9,1,0
48745.67, 16,13,9,1,0
44046.0, 17,13,9,1,0
54325.67, 17,16,9,1,0
38773.0, 16,13,12,1,0
55439.67, 17,13,12,1,0
36020.0, 17,16,12,1,0
53126.67, 17,16,13,1,0
38412.0, 5,4,3,2,0
50272.67, 8,4,3,2,0
31967.0, 9,4,3,2,0
49073.67, 12,4,3,2,0
31967.0, 13,4,3,2,0
48633.67, 16,4,3,2,0
31967.0, 17,4,3,2,0
31639.0, 8,5,3,2,0
0.0, 9,5,3,2,0
