0.0,0
37556.0,2,8,12,13
0.0,2,8,12,16
18333.33,2,8,12,17
18333.33,2,8,13,16
18333.33,2,8,13,17
38860.0,2,8,16,17
37556.0,2,9,12,13
18333.33,2,9,12,16
18333.33,2,9,12,17
18333.33,2,9,13,16
0.0,2,9,13,17
38860.0,2,9,16,17
37556.0,2,12,13,16
37556.0,2,12,13,17
38860.0,2,12,16,17
38860.0,2,13,16,17
40000.0,3,4,5,8
40000.0,3,4,5,9
40000.0,3,4,5,12
40000.0,3,4,5,13
40000.0,3,4,5,16
40000.0,3,4,5,17
38516.0,3,4,8,9
0.0,3,4,8,12
17193.33,3,4,8,13
0.0,3,4,8,16
15889.33,3,4,8,17
17193.33,3,4,9,12
17193.33,3,4,9,13
15889.33,3,4,9,16
15889.33,3,4,9,17
37556.0,3,4,12,13
0.0,3,4,12,16
16849.33,3,4,12,17
16849.33,3,4,13,16
16849.33,3,4,13,17
38860.0,3,4,16,17
38516.0,3,5,8,9
17193.33,3,5,8,12
17193.33,3,5,8,13
15889.33,3,5,8,16
15889.33,3,5,8,17
17193.33,3,5,9,12
0.0,3,5,9,13
15889.33,3,5,9,16
0.0,3,5,9,17
37556.0,3,5,12,13
16849.33,3,5,12,16
16849.33,3,5,12,17
16849.33,3,5,13,16
0.0,3,5,13,17
38860.0,3,5,16,17
38516.0,3,8,9,12
38516.0,3,8,9,13
38516.0,3,8,9,16
38516.0,3,8,9,17
37556.0,3,8,12,13
0.0,3,8,12,16
18333.33,3,8,12,17
18333.33,3,8,13,16
18333.33,3,8,13,17
38860.0,3,8,16,17
37556.0,3,9,12,13
18333.33,3,9,12,16
18333.33,3,9,12,17
18333.33,3,9,13,16
0.0,3,9,13,17
38860.0,3,9,16,17
37556.0,3,12,13,16
37556.0,3,12,13,17
38860.0,3,12,16,17
38860.0,3,13,16,17
65182.67,4,5,8,9
40000.0,4,5,8,12
43860.0,4,5,8,13
40000.0,4,5,8,16
42556.0,4,5,8,17
43860.0,4,5,9,12
40000.0,4,5,9,13
42556.0,4,5,9,16
40000.0,4,5,9,17
64222.67,4,5,12,13
40000.0,4,5,12,16
43516.0,4,5,12,17
43516.0,4,5,13,16
40000.0,4,5,13,17
65526.67,4,5,16,17
38516.0,4,8,9,12
42376.0,4,8,9,13
38516.0,4,8,9,16
41072.0,4,8,9,17
37556.0,4,8,12,13
0.0,4,8,12,16
30000.0,4,8,12,17
30146.0,4,8,13,16
53333.33,4,8,13,17
38860.0,4,8,16,17
41416.0,4,9,12,13
30000.0,4,9,12,16
53333.33,4,9,12,17
53333.33,4,9,13,16
32605.0,4,9,13,17
41416.0,4,9,16,17
37556.0,4,12,13,16
41072.0,4,12,13,17
38860.0,4,12,16,17
42376.0,4,13,16,17
42376.0,5,8,9,12
38516.0,5,8,9,13
41072.0,5,8,9,16
38516.0,5,8,9,17
41416.0,5,8,12,13
32605.0,5,8,12,16
53333.33,5,8,12,17
53333.33,5,8,13,16
30000.0,5,8,13,17
41416.0,5,8,16,17
37556.0,5,9,12,13
53333.33,5,9,12,16
30146.0,5,9,12,17
30000.0,5,9,13,16
0.0,5,9,13,17
38860.0,5,9,16,17
41072.0,5,12,13,16
